ID, Time, Theta_1, Theta_2, D_Theta_1, D_Theta_2, DD_Theta_1, DD_Theta_2, Torque_1, Torque_2, Theta_N_1, Theta_N_2
2509, 25.084569138276553, -0.9192220303576555, -0.9009436401712057, -1.7266350392644185, -1.028457906226673, 16.471428205471, 2.3407065877737927, 2.614640261457108, -0.3913611028067543, -0.9177296845274537, -0.9011141557788442
2510, 25.094570960102022, -0.9356648093400262, -0.9111111839040837, -1.5619207572097085, -1.0050508403489349, 16.471428205471, 2.3407065877737927, 2.614360010238345, -0.39929021450349367, -0.9355325726217772, -0.9120353269620585
2511, 25.10457278192749, -0.9504604455018497, -0.9210446569781844, -1.3972064751549986, -0.981643774471197, 16.471428205471, 2.3407065877737927, 2.6202968823042205, -0.4059490925325521, -0.9507564448668608, -0.9199541837134965
2512, 25.11457460375296, -0.9636089388431262, -0.9307440593935077, -1.2324921931002881, -0.958236708593459, 16.471428205471, 2.3407065877737927, 2.6325985520346458, -0.41138700748872886, -0.9630761303169039, -0.9309699076364313
2513, 25.12457642557843, -0.9751102893638555, -0.9402093911500535, -1.0677779110455778, -0.9348296427157211, 16.471428205471, 2.3407065877737927, 2.6513873761972135, -0.4156547004021447, -0.973554105526048, -0.9389879269234745
2514, 25.134578247403898, -0.9849644970640378, -0.949440652247822, -0.903063628990868, -0.9114225768379831, 16.471428205471, 2.3407065877737927, 2.6767630307352164, -0.41880324291003823, -0.9847618060234011, -0.9508894406557938
2515, 25.144580069229367, -0.993171561943673, -0.9584378426868132, -0.7383493469361577, -0.8880155109602452, 16.471428205471, 2.3407065877737927, 2.708804886991744, -0.4208830072694407, -0.9937764652896944, -0.9581203653494953
2516, 25.154581891054836, -0.9997314840027609, -0.967200962467027, -0.5736350648814479, -0.8646084450825073, 16.471428205471, 2.3407065877737927, 2.7475741169780794, -0.4219427446398416, -1.0004136291180417, -0.9677178543707134
2517, 25.164583712880304, -1.004644263241302, -0.9757300115884634, -0.4089207828267376, -0.8412013792047692, 16.471428205471, 2.3407065877737927, 2.7931155200305406, -0.422028769429511, -1.0052412131950321, -0.9751373603447282
2518, 25.174585534705773, -1.0079098996592957, -0.9840249900511224, -0.24420650077202732, -0.8177943133270313, 16.471428205471, 2.3407065877737927, 2.8454590655275833, -0.42118424708777974, -1.006821927059736, -0.9850653495677938
2519, 25.184587356531242, -1.0095283932567425, -0.992085897855004, -0.07949221871731726, -0.7943872474492933, 16.471428205471, 2.3407065877737927, 2.9046211483103783, -0.41944858251336825, -1.0086021811024812, -0.9930271769817451
2520, 25.19458917835671, -1.0094997440336422, -0.9999127350001082, 0.08522206333739257, -0.7709801815715555, 16.471428205471, 2.3407065877737927, 2.9706055551186425, -0.4168569062112607, -1.0092783221884372, -1.0012071838474186
2521, 25.20459100018218, -1.0078239519899945, -1.0075055014864351, 0.24993634539210308, -0.7475731156938175, 16.471428205471, 2.3407065877737927, 3.043404141773913, -0.4134396554437361, -1.0075634875108967, -1.008918846528813
2522, 25.21459282200765, -1.0045010171258, -1.0148641973139847, 0.41465062744681314, -0.7241660498160796, 16.471428205471, 2.3407065877737927, 3.1229972220696522, -0.40922224786188155, -1.0028429094312523, -1.0146661424161716
2523, 25.224594643833118, -0.9995309394410583, -1.0219888224827567, 0.5793649095015234, -0.7007589839383416, 16.471428205471, 2.3407065877737927, 3.2093536704168466, -0.4042248454498155, -0.999930572248299, -1.021603271850732
2524, 25.234596465658587, -0.9929137189357695, -1.0288793769927516, 0.7440791915562337, -0.6773519180606037, 16.471428205471, 2.3407065877737927, 3.302430741299342, -0.3984622070433984, -0.9923864494757204, -1.0269452993371984
2525, 25.244598287484056, -0.9846493556099336, -1.0355358608439689, 0.9087934736109438, -0.6539448521828657, 16.471428205471, 2.3407065877737927, 3.402173609569693, -0.3919436281774171, -0.9862385684782617, -1.036599216757005
2526, 25.254600109309525, -0.9747378494635506, -1.0419582740364088, 1.0735077556656538, -0.6305377863051277, 16.471428205471, 2.3407065877737927, 3.5085146366160362, -0.3846729675498079, -0.9762502059269362, -1.042379660032212
2527, 25.264601931134997, -0.9631792004966204, -1.0481466165700715, 1.2382220377203639, -0.6071307204273899, 16.471428205471, 2.3407065877737927, 3.621372368506046, -0.37664875994837554, -0.9634951690015794, -1.0481304851698943
2528, 25.274603752960466, -0.9499734087091434, -1.0541008884449565, 1.402936319775074, -0.5837236545496519, 16.471428205471, 2.3407065877737927, 3.7406502734152376, -0.3678644160449943, -0.9497149175956303, -1.0527358677208678
2529, 25.284605574785935, -0.935120474101119, -1.0598210896610645, 1.5676506018297842, -0.5603165886719139, 16.471428205471, 2.3407065877737927, 3.866235227022787, -0.35830851000467323, -0.9353283832104488, -1.0593496073680488
2530, 25.294607396611404, -0.9186203966725476, -1.0653072202183949, 1.7323648838844943, -0.536909522794176, 16.471428205471, 2.3407065877737927, 3.9979957561551545, -0.3479651563622519, -0.9183572386410869, -1.0656121722203264
2531, 25.304609218436873, -0.9004731764234291, -1.070559280116948, 1.897079165939204, -0.513502456916438, 16.471428205471, 2.3407065877737927, 4.135780052820461, -0.33681447806765796, -0.9002487678198052, -1.070081569227279
